FILE INFORMATION:

   Simulation name: Ex-BBa
   Simulation type: Experimental
   Domain:  
   dt: 1
   depth: 250
   strt_mon: 3
   wind_beta: 0.5
   strt_day: 1
   days: 250
   dt_save: 1
   lat: 68.98
   rkz_surf: 0
   diagnostics: 1
   biol: 5
   wind_scale: 1
   o2_sat_start: 1
   sat_start: 1
   dn2ar_deep: 0
   param: l13
   dz: 25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25  25

DATA:

time [ ],mld_t [ ],deep_t [ ],mld_s [ ],deep_s [ ],deep_dens [ ],u10 [ ],ice [ ],slp [ ],do2ar [ ],do2n2 [ ],mld [ ],mld_o2sat [ ],mld_arsat [ ],mld_n2sat [ ],ceq_o2 [ ],ceq_ar [ ],ceq_n2 [ ],o2_deep [ ],ar_deep [ ],n2_deep [ ],o2_fd [ ],o2_fc [ ],o2_fp [ ],o2_fk [ ],o2_fw [ ],o2_fN [ ],o2_fe [ ],ar_fd [ ],ar_fc [ ],ar_fp [ ],ar_fk [ ],ar_fw [ ],ar_fe [ ],n2_fd [ ],n2_fc [ ],n2_fp [ ],n2_fk [ ],n2_fw [ ],n2_fe [ ],o2_deq [ ],ar_deq [ ],n2_deq [ ],upw [ ],kz [ ],dn2ar_deep [ ],n2fix [ ],n2pr [ ],n2pr_noMix [ ]
0.000,-1.760,-2.168,31.942,32.163,1026.493,4.783,0.990,1002.180,0.000,0.000,101.362,100.000,100.000,100.000,383.026,18.724,683.391,386.914,18.913,689.699,0.000,0.000,0.000,0.000,0.000,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,NaN,NaN
1.000,-1.760,-2.168,31.942,32.163,1026.487,3.346,0.990,1011.306,0.013,0.013,100.166,101.118,101.105,101.105,378.841,18.520,675.925,386.914,18.913,689.699,-0.000,0.000,0.000,0.000,0.000,0.050,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NaN,NaN
2.000,-1.760,-2.168,31.942,32.163,1026.481,1.750,0.990,1013.505,0.026,0.026,98.880,100.218,100.192,100.192,382.292,18.688,682.081,386.914,18.913,689.699,-0.000,0.000,0.000,0.000,0.000,0.051,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NaN,NaN
3.000,-1.760,-2.168,31.942,32.163,1026.474,5.202,0.990,1006.135,0.039,0.039,97.510,100.014,99.975,99.975,383.123,18.729,683.563,386.914,18.913,689.699,-0.000,0.000,0.000,0.000,0.000,0.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,NaN,NaN
4.000,-1.770,-2.178,31.942,32.163,1026.468,8.128,0.990,1006.172,0.053,0.052,96.064,100.760,100.707,100.707,380.337,18.593,678.593,387.020,18.918,689.874,-0.000,0.000,0.000,0.000,0.000,0.052,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.004,0.000,0.000,0.000,0.000,NaN,NaN
5.000,-1.774,-2.182,31.942,32.163,1026.460,6.533,0.990,997.033,0.066,0.064,94.546,100.742,100.676,100.678,380.454,18.598,678.788,387.064,18.920,689.948,-0.001,0.000,0.000,0.000,0.000,0.053,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.002,0.000,0.000,0.000,0.000,NaN,NaN
6.000,-1.774,-2.182,31.942,32.163,1026.453,7.506,0.992,1000.607,0.080,0.077,92.963,101.668,101.587,101.590,377.041,18.432,672.694,387.064,18.920,689.948,-0.001,0.000,0.000,0.000,0.000,0.054,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.003,0.000,0.000,0.000,0.000,NaN,NaN
7.000,-1.776,-2.183,31.942,32.163,1026.445,7.233,0.992,1011.292,0.094,0.091,91.321,101.319,101.224,101.227,378.393,18.498,675.105,387.083,18.921,689.979,-0.001,0.000,0.000,0.000,0.000,0.055,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.003,0.000,0.000,0.000,0.000,NaN,NaN
8.000,-1.778,-2.186,31.942,32.163,1026.436,5.677,0.992,1017.629,0.108,0.105,89.627,100.258,100.150,100.153,382.452,18.696,682.345,387.109,18.922,690.021,-0.000,0.000,0.000,0.000,0.000,0.056,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.000,0.000,0.000,0.000,NaN,NaN
9.000,-1.781,-2.188,31.942,32.163,1026.428,4.771,0.994,1013.116,0.122,0.119,87.886,99.641,99.520,99.523,384.874,18.814,686.663,387.135,18.923,690.064,0.000,0.000,0.000,0.000,0.000,0.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,NaN,NaN
