FILE INFORMATION:

   Simulation name: ExIC1c
   Simulation type: Experimental
   Domain:  
   dt: 0.125
   wind_beta: 0.5
   depth: 250
   dz: 10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10
   strt_mon: 6
   strt_day: 1
   days: 180
   dt_save: 60
   lat: 68.98
   rkz_surf: 0.0001
   diagnostics: 1
   biol: 0
   wind_scale: 1
   o2_sat_start: 1
   sat_start: 1
   dn2ar_deep: 0.015
   param: l13

DATA:

time [ ],mld_t [ ],deep_t [ ],mld_s [ ],deep_s [ ],deep_dens [ ],u10 [ ],ice [ ],slp [ ],do2ar [ ],do2n2 [ ],mld [ ],mld_o2sat [ ],mld_arsat [ ],mld_n2sat [ ],ceq_o2 [ ],ceq_ar [ ],ceq_n2 [ ],o2_deep [ ],ar_deep [ ],n2_deep [ ],o2_fd [ ],o2_fc [ ],o2_fp [ ],o2_fk [ ],o2_fw [ ],o2_fN [ ],o2_fe [ ],ar_fd [ ],ar_fc [ ],ar_fp [ ],ar_fk [ ],ar_fw [ ],ar_fe [ ],n2_fd [ ],n2_fc [ ],n2_fp [ ],n2_fk [ ],n2_fw [ ],n2_fe [ ],o2_deq [ ],ar_deq [ ],n2_deq [ ],upw [ ],kz [ ],dn2ar_deep [ ],n2fix [ ],n2pr [ ],n2pr_noMix [ ]
0.000,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,0.000,0.000,12.000,100.000,100.000,100.000,371.363,18.159,665.592,368.932,18.041,670.861,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
0.125,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.013,12.000,99.994,99.994,100.007,371.363,18.159,665.592,368.932,18.041,670.861,-0.000,0.000,0.000,-0.175,-0.004,0.000,0.000,-0.000,0.000,0.000,-0.008,-0.000,0.000,-0.001,0.000,0.000,0.379,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
0.250,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.026,12.000,99.988,99.988,100.014,371.363,18.159,665.592,368.932,18.041,670.861,0.001,0.000,0.000,-0.173,-0.004,0.000,0.000,0.000,0.000,0.000,-0.008,-0.000,0.000,-0.003,0.000,0.000,0.376,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
0.375,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.039,12.000,99.982,99.982,100.022,371.363,18.159,665.592,368.932,18.041,670.861,0.002,0.000,0.000,-0.172,-0.004,0.000,0.000,0.000,0.000,0.000,-0.008,-0.000,0.000,-0.005,0.000,0.000,0.372,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
0.500,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.052,12.000,99.976,99.977,100.028,371.363,18.159,665.592,368.932,18.041,670.861,0.003,0.000,0.000,-0.170,-0.004,0.000,0.000,0.000,0.000,0.000,-0.008,-0.000,0.000,-0.007,0.000,0.000,0.369,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
0.625,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.065,12.000,99.971,99.971,100.035,371.363,18.159,665.592,368.932,18.041,670.861,0.004,0.000,0.000,-0.169,-0.004,0.000,0.000,0.000,0.000,0.000,-0.008,-0.000,0.000,-0.008,0.000,0.000,0.366,0.009,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
0.750,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.000,-0.077,12.000,99.965,99.965,100.042,371.363,18.159,665.592,368.932,18.041,670.861,0.005,0.000,0.000,-0.167,-0.004,0.000,0.000,0.000,0.000,0.000,-0.008,-0.000,0.000,-0.010,0.000,0.000,0.362,0.008,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
0.875,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.089,12.000,99.960,99.960,100.049,371.363,18.159,665.592,368.932,18.041,670.861,0.005,0.000,0.000,-0.166,-0.004,0.000,0.000,0.000,0.000,0.000,-0.008,-0.000,0.000,-0.012,0.000,0.000,0.359,0.008,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
1.000,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.101,12.000,99.954,99.955,100.055,371.363,18.159,665.592,368.932,18.041,670.861,0.006,0.000,0.000,-0.164,-0.004,0.000,0.000,0.000,0.000,0.000,-0.008,-0.000,0.000,-0.014,0.000,0.000,0.356,0.008,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
1.125,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.113,12.000,99.949,99.949,100.062,371.363,18.159,665.592,368.932,18.041,670.861,0.007,0.000,0.000,-0.163,-0.004,0.000,0.000,0.000,0.000,0.000,-0.008,-0.000,0.000,-0.016,0.000,0.000,0.353,0.008,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
1.250,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.125,12.000,99.943,99.944,100.068,371.363,18.159,665.592,368.932,18.041,670.861,0.008,0.000,0.000,-0.161,-0.004,0.000,0.000,0.000,0.000,0.000,-0.008,-0.000,0.000,-0.018,0.000,0.000,0.350,0.008,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
1.375,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.136,12.000,99.938,99.939,100.075,371.363,18.159,665.592,368.932,18.041,670.861,0.009,0.000,0.000,-0.160,-0.004,0.000,0.000,0.000,0.000,0.000,-0.008,-0.000,0.000,-0.019,0.000,0.000,0.347,0.008,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
1.500,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.148,12.000,99.933,99.934,100.081,371.363,18.159,665.592,368.932,18.041,670.861,0.010,0.000,0.000,-0.159,-0.004,0.000,0.000,0.001,0.000,0.000,-0.008,-0.000,0.000,-0.021,0.000,0.000,0.344,0.008,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
1.625,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.159,12.000,99.928,99.929,100.087,371.363,18.159,665.592,368.932,18.041,670.861,0.011,0.000,0.000,-0.157,-0.004,0.000,0.000,0.001,0.000,0.000,-0.008,-0.000,0.000,-0.023,0.000,0.000,0.341,0.008,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
1.750,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.170,12.000,99.923,99.924,100.093,371.363,18.159,665.592,368.932,18.041,670.861,0.012,0.000,0.000,-0.156,-0.004,0.000,0.000,0.001,0.000,0.000,-0.008,-0.000,0.000,-0.025,0.000,0.000,0.338,0.008,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
1.875,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.180,12.000,99.918,99.919,100.099,371.363,18.159,665.592,368.932,18.041,670.861,0.012,0.000,0.000,-0.155,-0.004,0.000,0.000,0.001,0.000,0.000,-0.007,-0.000,0.000,-0.026,0.000,0.000,0.335,0.008,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
2.000,0.000,-0.001,29.652,30.603,1024.664,5.000,0.500,1013.250,-0.001,-0.191,12.000,99.913,99.915,100.105,371.363,18.159,665.592,368.932,18.041,670.861,0.013,0.000,0.000,-0.153,-0.004,0.000,0.000,0.001,0.000,0.000,-0.007,-0.000,0.000,-0.028,0.000,0.000,0.332,0.008,0.000,0.001,0.001,0.001,0.000,0.000,1.500,0.000,NaN,NaN
