FILE INFORMATION:

   Simulation name: ExIF1c
   Simulation type: Experimental
   Domain:  
   dt: 0.125
   wind_beta: 0.5
   depth: 250
   dz: 10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10
   strt_mon: 6
   strt_day: 1
   days: 180
   dt_save: 60
   lat: 50
   rkz_surf: 0.0001
   diagnostics: 1
   biol: 0
   wind_scale: 1
   o2_sat_start: 1
   sat_start: 1
   dn2ar_deep: 0.015
   param: l13

DATA:

time [ ],mld_t [ ],deep_t [ ],mld_s [ ],deep_s [ ],deep_dens [ ],u10 [ ],ice [ ],slp [ ],do2ar [ ],do2n2 [ ],mld [ ],mld_o2sat [ ],mld_arsat [ ],mld_n2sat [ ],ceq_o2 [ ],ceq_ar [ ],ceq_n2 [ ],o2_deep [ ],ar_deep [ ],n2_deep [ ],o2_fd [ ],o2_fc [ ],o2_fp [ ],o2_fk [ ],o2_fw [ ],o2_fN [ ],o2_fe [ ],ar_fd [ ],ar_fc [ ],ar_fp [ ],ar_fk [ ],ar_fw [ ],ar_fe [ ],n2_fd [ ],n2_fc [ ],n2_fp [ ],n2_fk [ ],n2_fw [ ],n2_fe [ ],o2_deq [ ],ar_deq [ ],n2_deq [ ],upw [ ],kz [ ],dn2ar_deep [ ],n2fix [ ],n2pr [ ],n2pr_noMix [ ]
0.000,10.000,7.728,32.359,32.397,1025.434,5.000,0.000,1013.250,0.000,0.000,26.000,100.000,100.000,100.000,286.833,14.059,523.752,301.679,14.780,556.588,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
0.125,10.000,7.728,32.359,32.397,1025.434,5.000,0.000,1013.250,0.000,-0.005,26.000,100.021,100.021,100.026,286.833,14.059,523.752,301.679,14.780,556.588,-0.001,0.005,0.010,0.493,-0.023,0.000,0.000,-0.000,0.000,0.001,0.024,-0.001,0.000,-0.001,0.019,0.017,1.091,-0.051,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
0.250,10.000,7.728,32.359,32.397,1025.434,5.000,0.000,1013.250,0.000,-0.009,26.000,100.042,100.042,100.051,286.833,14.059,523.752,301.679,14.780,556.588,-0.005,0.005,0.010,0.491,-0.023,0.000,0.000,-0.000,0.000,0.001,0.024,-0.001,0.000,-0.008,0.019,0.016,1.087,-0.050,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
0.375,10.000,7.728,32.359,32.397,1025.434,5.000,0.000,1013.250,0.000,-0.014,26.000,100.063,100.062,100.076,286.833,14.059,523.752,301.679,14.780,556.588,-0.009,0.005,0.009,0.489,-0.023,0.000,0.000,-0.000,0.000,0.001,0.024,-0.001,0.000,-0.016,0.019,0.016,1.082,-0.050,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
0.500,10.000,7.728,32.359,32.397,1025.434,5.000,0.000,1013.250,0.001,-0.018,26.000,100.083,100.082,100.101,286.833,14.059,523.752,301.679,14.780,556.588,-0.012,0.005,0.009,0.487,-0.023,0.000,0.000,-0.001,0.000,0.001,0.024,-0.001,0.000,-0.024,0.019,0.015,1.078,-0.050,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
0.625,10.000,7.728,32.359,32.397,1025.434,5.000,0.000,1013.250,0.001,-0.022,26.000,100.103,100.102,100.125,286.833,14.059,523.752,301.679,14.780,556.588,-0.016,0.005,0.009,0.485,-0.022,0.000,0.000,-0.001,0.000,0.001,0.024,-0.001,0.000,-0.031,0.019,0.014,1.074,-0.050,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
0.750,10.000,7.728,32.359,32.397,1025.434,5.000,0.000,1013.250,0.001,-0.027,26.000,100.123,100.122,100.150,286.833,14.059,523.752,301.679,14.780,556.588,-0.019,0.005,0.009,0.484,-0.022,0.000,0.000,-0.001,0.000,0.000,0.023,-0.001,0.000,-0.038,0.019,0.014,1.069,-0.050,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
0.875,10.000,7.728,32.359,32.397,1025.434,5.000,0.000,1013.250,0.001,-0.031,26.000,100.142,100.141,100.174,286.833,14.059,523.752,301.679,14.780,556.588,-0.023,0.005,0.008,0.482,-0.022,0.000,0.000,-0.001,0.000,0.000,0.023,-0.001,0.000,-0.046,0.019,0.013,1.065,-0.049,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
1.000,10.000,7.728,32.359,32.397,1025.434,5.000,0.000,1013.250,0.001,-0.035,26.000,100.162,100.160,100.197,286.833,14.059,523.752,301.679,14.780,556.588,-0.026,0.005,0.008,0.480,-0.022,0.000,0.000,-0.001,0.000,0.000,0.023,-0.001,0.000,-0.053,0.019,0.013,1.061,-0.049,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
1.125,10.000,7.728,32.359,32.397,1025.434,5.000,0.000,1013.250,0.001,-0.040,26.000,100.181,100.179,100.221,286.833,14.059,523.752,301.679,14.780,556.588,-0.030,0.005,0.008,0.478,-0.022,0.000,0.000,-0.002,0.000,0.000,0.023,-0.001,0.000,-0.060,0.019,0.012,1.057,-0.049,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
1.250,10.000,7.728,32.359,32.397,1025.434,5.000,0.000,1013.250,0.002,-0.044,26.000,100.200,100.198,100.244,286.833,14.059,523.752,301.679,14.780,556.588,-0.033,0.005,0.007,0.476,-0.022,0.000,0.000,-0.002,0.000,0.000,0.023,-0.001,0.000,-0.067,0.019,0.011,1.053,-0.049,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
1.375,10.000,7.728,32.359,32.397,1025.434,5.000,0.000,1013.250,0.002,-0.048,26.000,100.218,100.216,100.266,286.833,14.059,523.752,301.679,14.780,556.588,-0.037,0.005,0.007,0.474,-0.022,0.000,0.000,-0.002,0.000,0.000,0.023,-0.001,0.000,-0.074,0.019,0.011,1.049,-0.049,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
1.500,10.000,7.728,32.359,32.397,1025.434,5.000,0.000,1013.250,0.002,-0.052,26.000,100.237,100.235,100.289,286.833,14.059,523.752,301.679,14.780,556.588,-0.040,0.005,0.007,0.473,-0.022,0.000,0.000,-0.002,0.000,0.000,0.023,-0.001,0.000,-0.081,0.019,0.010,1.045,-0.048,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
1.625,10.000,7.728,32.359,32.397,1025.434,5.000,0.000,1013.250,0.003,-0.056,26.000,100.255,100.252,100.311,286.833,14.059,523.752,301.679,14.780,556.588,-0.043,0.005,0.007,0.471,-0.022,0.000,0.000,-0.002,0.000,0.000,0.023,-0.001,0.000,-0.088,0.019,0.010,1.041,-0.048,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
1.750,10.000,7.728,32.359,32.397,1025.434,5.000,0.000,1013.250,0.003,-0.060,26.000,100.273,100.270,100.333,286.833,14.059,523.752,301.679,14.780,556.588,-0.046,0.005,0.006,0.469,-0.022,0.000,0.000,-0.002,0.000,0.000,0.023,-0.001,0.000,-0.094,0.019,0.009,1.037,-0.048,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
1.875,10.000,7.728,32.359,32.397,1025.434,5.000,0.000,1013.250,0.003,-0.064,26.000,100.291,100.288,100.355,286.833,14.059,523.752,301.679,14.780,556.588,-0.050,0.005,0.006,0.467,-0.022,0.000,0.000,-0.003,0.000,0.000,0.023,-0.001,0.000,-0.101,0.019,0.008,1.033,-0.048,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
2.000,10.000,7.728,32.359,32.397,1025.434,5.000,0.000,1013.250,0.003,-0.068,26.000,100.308,100.305,100.377,286.833,14.059,523.752,301.679,14.780,556.588,-0.053,0.005,0.006,0.466,-0.022,0.000,0.000,-0.003,0.000,0.000,0.023,-0.001,0.000,-0.107,0.019,0.008,1.029,-0.048,0.000,0.001,0.001,0.001,-0.000,0.000,1.500,0.000,NaN,NaN
