FILE INFORMATION:

   Simulation name: OSP-FM
   Simulation type: Realistic
   Domain:  
   dt: 1
   days: 740
   depth: 500
   strt_mon: 1
   strt_day: 1
   dt_save: 1
   lat: 50
   diagnostics: 1
   wind_scale: 1
   o2_sat_start: 1
   sat_start: 1
   wind_beta: 0.5
   param: l13
   sname: OSP-FM (full mixing)

DATA:

time [ ],mld_t [ ],deep_t [ ],mld_s [ ],deep_s [ ],deep_dens [ ],u10 [ ],ice [ ],slp [ ],do2ar [ ],do2n2 [ ],mld [ ],mld_o2sat [ ],mld_arsat [ ],mld_n2sat [ ],ceq_o2 [ ],ceq_ar [ ],ceq_n2 [ ],o2_deep [ ],ar_deep [ ],n2_deep [ ],o2_fd [ ],o2_fc [ ],o2_fp [ ],o2_fk [ ],o2_fw [ ],o2_fN [ ],o2_fe [ ],ar_fd [ ],ar_fc [ ],ar_fp [ ],ar_fk [ ],ar_fw [ ],ar_fe [ ],n2_fd [ ],n2_fc [ ],n2_fp [ ],n2_fk [ ],n2_fw [ ],n2_fe [ ],o2_deq [ ],ar_deq [ ],n2_deq [ ],upw [ ],kz [ ],dn2ar_deep [ ],n2fix [ ],n2pr [ ],n2pr_noMix [ ],dZ [ ],arsat_deep [ ]
0.000,6.303,5.181,32.639,33.461,1026.938,8.953,0.000,1007.800,0.000,0.000,98.537,100.000,100.000,100.000,311.194,15.242,564.000,303.103,15.568,577.566,0.000,0.000,0.000,0.000,0.000,-0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.500,0.000,NaN,NaN,10.000,1.000
1.000,6.296,5.166,32.636,33.452,1026.932,9.812,0.000,1006.060,-0.050,-0.057,98.537,100.488,100.539,100.546,309.520,15.160,560.966,303.169,15.574,577.791,-0.045,0.013,0.013,-0.019,0.000,-0.121,0.000,-0.002,0.001,0.001,0.001,0.000,0.000,-0.075,0.047,0.022,0.032,0.000,0.000,0.006,0.006,0.009,-0.000,0.000,0.500,0.000,NaN,NaN,10.000,1.000
2.000,6.278,5.148,32.630,33.443,1026.927,10.767,0.000,1007.060,-0.097,-0.114,98.537,100.590,100.688,100.705,309.045,15.136,560.098,303.269,15.582,578.054,-0.058,0.018,0.017,-0.019,0.000,-0.118,0.000,-0.003,0.001,0.001,0.001,0.000,0.000,-0.107,0.068,0.026,0.033,0.000,0.000,0.007,0.007,0.011,-0.000,0.000,0.500,0.000,NaN,NaN,10.000,1.000
3.000,6.256,5.132,32.624,33.433,1026.921,10.815,0.000,1009.660,-0.141,-0.172,98.537,100.405,100.547,100.577,309.493,15.158,560.892,303.401,15.589,578.290,-0.044,0.026,0.033,-0.018,0.000,-0.115,0.000,-0.003,0.001,0.002,0.001,0.000,0.000,-0.094,0.097,0.049,0.033,0.000,0.000,0.009,0.009,0.013,-0.000,0.000,0.500,0.000,NaN,NaN,10.000,1.000
4.000,6.230,5.123,32.618,33.424,1026.915,9.120,0.000,1016.020,-0.184,-0.225,98.537,100.068,100.253,100.294,310.464,15.206,562.628,303.551,15.593,578.450,-0.010,0.026,0.045,-0.017,0.000,-0.111,0.000,-0.001,0.001,0.002,0.001,0.000,0.000,-0.045,0.098,0.065,0.034,0.000,0.000,0.009,0.009,0.013,-0.000,0.000,0.500,0.000,NaN,NaN,10.000,1.000
5.000,6.200,5.115,32.612,33.419,1026.912,8.547,0.000,1021.580,-0.228,-0.273,98.537,99.369,99.596,99.641,312.622,15.311,566.512,303.727,15.597,578.572,0.052,0.014,0.038,-0.017,0.000,-0.108,0.000,0.002,0.001,0.002,0.001,0.000,0.000,0.056,0.051,0.055,0.034,0.000,0.000,0.006,0.006,0.009,-0.000,0.000,0.500,0.000,NaN,NaN,10.000,1.000
6.000,6.170,5.109,32.610,33.416,1026.911,8.308,0.000,1026.040,-0.272,-0.317,98.537,98.763,99.032,99.077,314.566,15.406,570.001,303.898,15.599,578.653,0.098,0.011,0.041,-0.017,0.000,-0.105,0.000,0.004,0.000,0.002,0.001,0.000,0.000,0.130,0.040,0.059,0.035,0.000,0.000,0.005,0.005,0.008,-0.000,0.000,0.500,0.000,NaN,NaN,10.000,1.000
7.000,6.140,5.107,32.614,33.416,1026.909,8.833,0.000,1026.780,-0.315,-0.359,98.293,98.283,98.594,98.637,316.168,15.485,572.870,304.047,15.600,578.678,0.134,0.010,0.045,-0.017,0.000,-0.102,0.000,0.006,0.000,0.002,0.001,0.000,0.000,0.185,0.036,0.066,0.035,0.000,0.000,0.005,0.005,0.007,-0.000,0.000,0.500,0.000,NaN,NaN,10.000,1.000
8.000,6.106,5.114,32.620,33.412,1026.904,8.714,0.000,1024.380,-0.356,-0.398,98.049,98.179,98.530,98.571,316.609,15.506,573.634,304.196,15.598,578.611,0.152,0.012,0.057,-0.017,0.000,-0.099,0.000,0.007,0.001,0.003,0.001,0.000,0.000,0.208,0.045,0.083,0.035,0.000,0.000,0.006,0.006,0.008,-0.000,0.000,0.500,0.000,NaN,NaN,10.000,1.000
9.000,6.068,5.125,32.624,33.406,1026.898,9.335,0.000,1019.540,-0.394,-0.436,98.049,98.360,98.749,98.790,316.108,15.482,572.686,304.384,15.594,578.501,0.135,0.012,0.051,-0.018,0.000,-0.095,0.000,0.006,0.001,0.003,0.001,0.000,0.000,0.174,0.043,0.073,0.035,0.000,0.000,0.006,0.005,0.008,-0.000,0.000,0.500,0.000,NaN,NaN,10.000,1.000
10.000,6.030,5.127,32.633,33.400,1026.893,10.504,0.000,1011.180,-0.427,-0.473,98.049,98.762,99.186,99.231,314.886,15.422,570.429,304.583,15.594,578.496,0.108,0.015,0.055,-0.017,0.000,-0.092,0.000,0.004,0.001,0.003,0.001,0.000,0.000,0.119,0.056,0.075,0.034,0.000,0.000,0.007,0.006,0.009,-0.000,0.000,0.500,0.000,NaN,NaN,10.000,1.000
11.000,5.996,5.129,32.642,33.395,1026.889,9.335,0.000,1004.380,-0.453,-0.509,98.049,99.502,99.955,100.012,312.562,15.308,566.174,304.744,15.594,578.488,0.048,0.024,0.058,-0.018,0.000,-0.089,0.000,0.000,0.001,0.003,0.001,0.000,0.000,0.003,0.088,0.072,0.034,0.000,0.000,0.009,0.008,0.012,-0.000,0.000,0.500,0.000,NaN,NaN,10.000,1.000
12.000,5.970,5.130,32.643,33.392,1026.886,8.332,0.000,998.380,-0.477,-0.545,97.805,100.078,100.557,100.626,310.689,15.216,562.741,304.861,15.593,578.479,-0.010,0.015,0.025,-0.018,0.000,-0.086,0.000,-0.003,0.001,0.001,0.001,0.000,0.000,-0.091,0.056,0.023,0.034,0.000,0.000,0.007,0.006,0.010,-0.000,0.000,0.500,0.000,NaN,NaN,10.000,1.000
13.000,5.950,5.131,32.645,33.391,1026.882,7.353,0.000,999.800,-0.499,-0.578,97.317,100.576,101.080,101.161,309.018,15.134,559.685,304.982,15.593,578.468,-0.048,0.010,0.008,-0.017,0.000,-0.083,0.000,-0.005,0.000,0.000,0.001,0.000,0.000,-0.152,0.036,-0.001,0.035,0.000,0.000,0.005,0.005,0.007,-0.000,0.000,0.500,0.000,NaN,NaN,10.000,1.000
14.000,5.936,5.132,32.645,33.390,1026.879,6.661,0.000,1002.320,-0.522,-0.609,96.829,100.350,100.877,100.965,309.599,15.162,560.714,305.090,15.593,578.453,-0.027,0.006,0.007,-0.017,0.000,-0.080,0.000,-0.003,0.000,0.000,0.001,0.000,0.000,-0.112,0.022,0.000,0.035,0.000,0.000,0.004,0.004,0.005,-0.000,0.000,0.500,0.000,NaN,NaN,10.000,1.000
