FILE INFORMATION:

   Simulation name: OSP-NM
   Simulation type: Realistic
   Domain:  
   dt: 1
   days: 740
   depth: 250
   strt_mon: 1
   strt_day: 1
   dt_save: 1
   lat: 50
   diagnostics: 1
   wind_scale: 1
   o2_sat_start: 1
   sat_start: 1
   wind_beta: 0.5
   param: l13
   sname: OSP-NM (no mixing)

DATA:

time [ ],mld_t [ ],deep_t [ ],mld_s [ ],deep_s [ ],deep_dens [ ],u10 [ ],ice [ ],slp [ ],do2ar [ ],do2n2 [ ],mld [ ],mld_o2sat [ ],mld_arsat [ ],mld_n2sat [ ],ceq_o2 [ ],ceq_ar [ ],ceq_n2 [ ],o2_deep [ ],ar_deep [ ],n2_deep [ ],o2_fd [ ],o2_fc [ ],o2_fp [ ],o2_fk [ ],o2_fw [ ],o2_fN [ ],o2_fe [ ],ar_fd [ ],ar_fc [ ],ar_fp [ ],ar_fk [ ],ar_fw [ ],ar_fe [ ],n2_fd [ ],n2_fc [ ],n2_fp [ ],n2_fk [ ],n2_fw [ ],n2_fe [ ],o2_deq [ ],ar_deq [ ],n2_deq [ ],upw [ ],kz [ ],dn2ar_deep [ ],n2fix [ ],n2pr [ ],n2pr_noMix [ ],dZ [ ],arsat_deep [ ]
0.000,6.303,5.740,32.639,32.711,1026.278,8.953,0.000,1007.800,0.000,0.000,98.537,100.000,100.000,100.000,311.194,15.242,564.000,303.103,15.435,571.362,0.000,0.000,0.000,0.000,0.000,-0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.140,0.000,NaN,NaN,10.000,1.000
1.000,6.296,5.730,32.636,32.711,1026.279,9.812,0.000,1006.060,-0.039,-0.045,98.537,100.494,100.534,100.540,309.520,15.160,560.966,303.169,15.439,571.491,-0.045,0.013,0.013,-0.000,-0.000,-0.121,0.000,-0.002,0.001,0.001,0.000,0.000,0.000,-0.075,0.047,0.022,0.000,0.000,0.000,0.006,0.006,0.009,0.000,0.000,0.140,0.000,NaN,NaN,10.000,1.000
2.000,6.278,5.720,32.630,32.711,1026.280,10.767,0.000,1007.060,-0.075,-0.091,98.537,100.602,100.677,100.693,309.045,15.136,560.098,303.269,15.442,571.607,-0.059,0.018,0.017,-0.000,-0.000,-0.118,0.000,-0.003,0.001,0.001,0.000,0.000,0.000,-0.106,0.068,0.027,0.000,0.000,0.000,0.007,0.007,0.011,0.000,0.000,0.140,0.000,NaN,NaN,10.000,1.000
3.000,6.256,5.712,32.624,32.710,1026.281,10.815,0.000,1009.660,-0.109,-0.137,98.537,100.422,100.532,100.560,309.493,15.158,560.892,303.401,15.445,571.710,-0.046,0.026,0.033,-0.000,-0.000,-0.115,0.000,-0.003,0.001,0.002,0.000,0.000,0.000,-0.092,0.097,0.049,0.000,0.000,0.000,0.009,0.009,0.013,0.000,0.000,0.139,0.000,NaN,NaN,10.000,1.000
4.000,6.230,5.703,32.618,32.710,1026.282,9.120,0.000,1016.020,-0.143,-0.181,98.537,100.090,100.233,100.272,310.464,15.206,562.628,303.551,15.448,571.804,-0.012,0.026,0.044,-0.000,-0.000,-0.111,0.000,-0.001,0.001,0.002,0.000,0.000,0.000,-0.042,0.098,0.066,0.000,0.000,0.000,0.009,0.009,0.013,0.000,0.000,0.138,0.000,NaN,NaN,10.000,1.000
5.000,6.200,5.696,32.612,32.710,1026.283,8.547,0.000,1021.580,-0.177,-0.218,98.537,99.396,99.572,99.613,312.622,15.311,566.512,303.727,15.451,571.890,0.050,0.014,0.037,-0.000,-0.000,-0.108,0.000,0.002,0.001,0.002,0.000,0.000,0.000,0.059,0.051,0.055,0.000,0.000,0.000,0.006,0.006,0.009,0.000,0.000,0.136,0.000,NaN,NaN,10.000,1.000
6.000,6.170,5.688,32.610,32.710,1026.284,8.308,0.000,1026.040,-0.211,-0.253,98.537,98.794,99.003,99.045,314.566,15.406,570.001,303.898,15.454,571.969,0.096,0.011,0.040,-0.000,-0.000,-0.105,0.000,0.004,0.000,0.002,0.000,0.000,0.000,0.133,0.040,0.060,0.000,0.000,0.000,0.005,0.005,0.008,0.000,0.000,0.135,0.000,NaN,NaN,10.000,1.000
7.000,6.140,5.682,32.614,32.710,1026.283,8.833,0.000,1026.780,-0.245,-0.284,98.293,98.319,98.561,98.599,316.168,15.485,572.870,304.047,15.456,572.039,0.131,0.010,0.044,-0.000,-0.000,-0.102,0.000,0.006,0.000,0.002,0.000,0.000,0.000,0.189,0.036,0.067,0.000,0.000,0.000,0.005,0.005,0.007,0.000,0.000,0.133,0.000,NaN,NaN,10.000,1.000
8.000,6.106,5.676,32.620,32.710,1026.282,8.714,0.000,1024.380,-0.278,-0.314,98.049,98.219,98.492,98.528,316.609,15.506,573.634,304.196,15.458,572.102,0.149,0.012,0.056,-0.000,-0.000,-0.099,0.000,0.007,0.001,0.003,0.000,0.000,0.000,0.213,0.045,0.084,0.000,0.000,0.000,0.006,0.006,0.008,0.000,0.000,0.131,0.000,NaN,NaN,10.000,1.000
9.000,6.068,5.672,32.624,32.709,1026.282,9.335,0.000,1019.540,-0.307,-0.343,98.049,98.404,98.707,98.743,316.108,15.482,572.686,304.384,15.460,572.146,0.132,0.012,0.050,-0.000,-0.000,-0.095,0.000,0.006,0.001,0.003,0.000,0.000,0.000,0.180,0.043,0.074,0.000,0.000,0.000,0.006,0.005,0.008,0.000,0.000,0.129,0.000,NaN,NaN,10.000,1.000
